customer_id,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
CUST00041,Male,0,No,No,62,Yes,Yes,No,Yes,No internet service,No,Yes,No,Yes,Two year,No,Mailed check,24.59,1524.58,No
CUST00042,Female,0,No,No,1,Yes,Yes,Fiber optic,No,No internet service,No internet service,No,Yes,Yes,One year,Yes,Bank transfer,85.96,85.96,No
CUST00043,Female,0,Yes,No,12,No,No,No,Yes,No internet service,Yes,No,No,No internet service,Month-to-month,Yes,Mailed check,97.51,1170.12,Yes
CUST00044,Female,1,Yes,Yes,4,No,No,No,No internet service,No,Yes,Yes,No internet service,Yes,Month-to-month,No,Mailed check,41.31,165.24,Yes
CUST00045,Female,0,No,Yes,42,Yes,Yes,No,No,No internet service,No,No internet service,Yes,Yes,One year,No,Electronic check,47.31,1987.02,No
CUST00046,Female,0,Yes,Yes,13,Yes,Yes,No,No,No,Yes,Yes,No internet service,Yes,Two year,Yes,Bank transfer,40.16,522.08,No
CUST00047,Male,0,Yes,No,4,Yes,No,Fiber optic,No,No internet service,No internet service,No,Yes,No internet service,Two year,Yes,Credit card,49.74,198.96,No
CUST00048,Female,1,No,Yes,69,Yes,No,DSL,No internet service,No internet service,Yes,No internet service,Yes,No,Month-to-month,Yes,Bank transfer,31.01,2139.69,No
CUST00049,Female,0,No,No,19,Yes,Yes,DSL,No internet service,No internet service,No internet service,Yes,No internet service,No,One year,No,Credit card,57.03,1083.57,No
CUST00050,Male,1,Yes,No,2,No,No phone service,No,No,No,No internet service,Yes,No internet service,No,Two year,Yes,Credit card,56.89,113.78,No
CUST00051,Female,0,Yes,No,12,Yes,No,No,Yes,No internet service,No,No internet service,No,No,Two year,Yes,Electronic check,100.73,1208.76,No
CUST00052,Male,1,No,No,6,Yes,No,No,No internet service,Yes,Yes,Yes,No,Yes,Month-to-month,Yes,Bank transfer,100.1,600.6,Yes
CUST00053,Female,0,Yes,Yes,8,No,No,DSL,No,No internet service,No,No,No internet service,No internet service,Month-to-month,No,Electronic check,99.67,797.36,No
CUST00054,Male,1,Yes,No,51,No,Yes,DSL,No,No,No,No,Yes,Yes,Month-to-month,Yes,Mailed check,76.7,3911.7,No
CUST00055,Female,0,No,Yes,11,Yes,Yes,No,No internet service,No,No,No internet service,No,No internet service,Month-to-month,Yes,Bank transfer,52.59,578.49,Yes
CUST00056,Female,0,No,No,63,Yes,No,DSL,Yes,Yes,No internet service,Yes,Yes,Yes,One year,Yes,Mailed check,61.1,3849.3,No
CUST00057,Male,0,Yes,Yes,57,Yes,Yes,Fiber optic,No,Yes,No internet service,Yes,No,No,Two year,No,Bank transfer,51.77,2950.89,No
CUST00058,Male,0,Yes,Yes,12,Yes,Yes,No,Yes,Yes,No internet service,No,No,No,Two year,No,Credit card,78.19,938.28,No
CUST00059,Male,0,Yes,No,2,Yes,No,No,Yes,No,No internet service,No internet service,No,No internet service,Month-to-month,Yes,Mailed check,113.8,227.6,Yes
CUST00060,Male,1,No,No,8,Yes,Yes,Fiber optic,No internet service,No internet service,Yes,No internet service,No internet service,Yes,One year,No,Bank transfer,48.45,387.6,No
CUST00061,Male,1,Yes,No,11,No,No phone service,Fiber optic,No,No internet service,Yes,No internet service,Yes,No,Month-to-month,No,Bank transfer,65.89,724.79,No
CUST00062,Male,0,Yes,Yes,53,Yes,Yes,DSL,No,Yes,No internet service,No,No internet service,No internet service,One year,Yes,Mailed check,85.51,4532.03,No
CUST00063,Male,0,No,No,10,Yes,Yes,Fiber optic,Yes,Yes,No internet service,No,No,Yes,One year,No,Electronic check,104.47,1044.7,No
CUST00064,Male,0,No,No,8,Yes,No,No,No internet service,No internet service,Yes,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer,45.33,362.64,No
CUST00065,Female,0,Yes,Yes,36,Yes,No,DSL,No internet service,Yes,No,No internet service,No internet service,Yes,Month-to-month,No,Electronic check,48.03,1729.08,No
CUST00066,Female,0,No,No,14,Yes,No phone service,Fiber optic,No internet service,No internet service,No,Yes,No internet service,Yes,Month-to-month,No,Electronic check,108.52,1519.28,No
CUST00067,Male,0,No,Yes,54,Yes,Yes,DSL,Yes,No internet service,No internet service,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,28.03,1513.62,No
CUST00068,Female,0,Yes,No,21,Yes,No phone service,DSL,Yes,No internet service,No,No internet service,No internet service,No internet service,Two year,Yes,Electronic check,80.54,1691.34,Yes
CUST00069,Female,0,No,Yes,50,Yes,No phone service,DSL,No,No internet service,No internet service,No,No internet service,No internet service,Month-to-month,Yes,Electronic check,106.05,5302.5,Yes
CUST00070,Female,0,No,Yes,39,Yes,No,DSL,No internet service,No,No internet service,No,No internet service,Yes,Month-to-month,No,Credit card,112.17,4374.63,No
CUST00071,Female,0,Yes,No,20,Yes,Yes,Fiber optic,Yes,No internet service,No internet service,Yes,No internet service,No,Month-to-month,No,Electronic check,21.27,425.4,No
CUST00072,Male,0,No,Yes,7,Yes,No,No,No internet service,Yes,Yes,No internet service,No internet service,Yes,Two year,No,Credit card,56.97,398.79,No
CUST00073,Female,0,Yes,No,9,Yes,No phone service,No,Yes,Yes,No,No,No internet service,No internet service,Month-to-month,No,Bank transfer,45.73,411.57,Yes
CUST00074,Male,1,Yes,No,1,Yes,No phone service,Fiber optic,No,Yes,Yes,No,No internet service,Yes,Month-to-month,Yes,Credit card,76.8,76.8,Yes
CUST00075,Female,0,No,Yes,26,Yes,No,No,,Yes,No,No,No,No internet service,One year,Yes,Credit card,83.29,2165.54,No
CUST00076,Female,0,No,No,38,No,No,DSL,Yes,No,Yes,No,No internet service,Yes,Month-to-month,Yes,Electronic check,119.98,4559.24,No
CUST00077,Female,0,No,Yes,38,No,No,DSL,No internet service,No internet service,Yes,Yes,No internet service,Yes,Month-to-month,Yes,Bank transfer,71.28,2708.64,No
CUST00078,Male,0,Yes,Yes,61,Yes,No,DSL,Yes,No internet service,No internet service,No,Yes,No,One year,Yes,Bank transfer,75.15,4584.15,No
CUST00079,Female,1,No,Yes,44,Yes,No,Fiber optic,Yes,Yes,No internet service,No,No,No,Month-to-month,No,Bank transfer,61.43,2702.92,No
CUST00080,Male,0,Yes,Yes,44,Yes,No phone service,DSL,Yes,Yes,Yes,No internet service,No internet service,No internet service,Two year,No,Mailed check,34.77,1529.88,No
CUST00081,Female,0,No,Yes,62,Yes,No,DSL,No internet service,Yes,No,No internet service,Yes,Yes,Month-to-month,Yes,Credit card,50.33,3120.46,No
CUST00082,Male,0,No,Yes,6,Yes,Yes,Fiber optic,Yes,No internet service,No,Yes,No internet service,No internet service,Month-to-month,No,Electronic check,44.7,268.2,Yes
CUST00083,Female,1,No,Yes,17,No,No phone service,DSL,No,No,No internet service,Yes,No internet service,Yes,Month-to-month,No,Mailed check,100.12,1702.04,No
CUST00084,Male,1,Yes,Yes,51,No,No phone service,DSL,No internet service,No,No internet service,Yes,No internet service,Yes,Two year,No,Electronic check,74.58,3803.58,No
CUST00085,Male,0,No,No,38,Yes,Yes,No,No,No,No,Yes,No internet service,Yes,Month-to-month,Yes,Mailed check,49.62,1885.56,Yes
CUST00086,Female,0,No,No,24,Yes,Yes,Fiber optic,No,No,No,No,No internet service,No,Month-to-month,No,Bank transfer,68.91,1653.84,No
CUST00087,Male,0,Yes,Yes,51,Yes,No phone service,DSL,No internet service,Yes,No,No internet service,Yes,No internet service,Month-to-month,Yes,Mailed check,41.89,2136.39,No
CUST00088,Female,1,Yes,No,10,Yes,No,DSL,Yes,No internet service,No internet service,No,No internet service,Yes,Month-to-month,No,Bank transfer,38.51,385.1,Yes
CUST00089,Female,0,No,No,21,Yes,No phone service,DSL,No,Yes,No,No,Yes,Yes,One year,No,Mailed check,105.99,2225.79,No
CUST00090,Female,1,No,No,70,Yes,No phone service,DSL,,No,No internet service,No,No internet service,No internet service,Two year,Yes,Electronic check,114.48,8013.6,No
CUST00091,Female,0,No,No,57,Yes,Yes,No,Yes,Yes,Yes,No internet service,Yes,No internet service,One year,Yes,Electronic check,28.0,1596.0,No
CUST00092,Female,0,Yes,No,39,Yes,No phone service,No,No internet service,No,Yes,Yes,No,Yes,Month-to-month,Yes,Mailed check,96.49,3763.11,No
CUST00093,Female,0,Yes,No,33,Yes,No,No,No internet service,No internet service,Yes,Yes,No internet service,No,Month-to-month,Yes,Credit card,65.33,2155.89,No
CUST00094,Female,0,Yes,Yes,59,Yes,Yes,No,No internet service,No,No,No internet service,No,No,One year,No,Credit card,58.9,3475.1,No
CUST00095,Female,0,Yes,No,18,Yes,No phone service,Fiber optic,Yes,Yes,No internet service,No internet service,No,Yes,Two year,Yes,Mailed check,88.94,1600.92,Yes
CUST00096,Female,0,No,No,56,Yes,No phone service,DSL,No,No internet service,No,Yes,No,No,Month-to-month,Yes,Credit card,46.63,2611.28,No
CUST00097,Female,0,Yes,No,57,Yes,No,No,No,No,No internet service,No,No internet service,No internet service,Month-to-month,No,Electronic check,22.06,1257.42,No
CUST00098,Female,0,Yes,No,48,Yes,No phone service,DSL,No internet service,No,No,Yes,No,No,Month-to-month,No,Credit card,41.4,1987.2,No
CUST00099,Male,0,Yes,Yes,42,Yes,No phone service,Fiber optic,No internet service,No internet service,Yes,No internet service,Yes,No internet service,Month-to-month,No,Mailed check,38.49,1616.58,No
CUST00100,Male,0,No,Yes,27,Yes,No phone service,DSL,Yes,Yes,No internet service,Yes,No internet service,No internet service,Month-to-month,Yes,Credit card,23.4,631.8,No
CUST00101,Female,1,No,Yes,52,Yes,No phone service,DSL,No internet service,No internet service,No,Yes,No,No internet service,Two year,Yes,Mailed check,52.13,2710.76,No
CUST00102,Female,1,Yes,Yes,42,Yes,No,No,No internet service,Yes,No internet service,Yes,No internet service,No internet service,Month-to-month,No,Electronic check,67.45,2832.9,No
CUST00103,Female,1,Yes,No,32,No,No phone service,No,No internet service,No,No internet service,No internet service,No,No,Month-to-month,No,Bank transfer,93.58,2994.56,No
CUST00104,Female,1,No,Yes,26,Yes,No phone service,Fiber optic,No,No,No,No internet service,Yes,No internet service,Month-to-month,No,Electronic check,52.57,1366.82,No
CUST00105,Female,0,No,Yes,25,Yes,No phone service,DSL,No internet service,No internet service,No,Yes,No internet service,Yes,Two year,Yes,Electronic check,39.45,986.25,No
CUST00106,Female,0,No,Yes,23,Yes,Yes,No,No,No,No internet service,Yes,No internet service,No internet service,Month-to-month,No,Mailed check,43.06,990.38,No
CUST00107,Female,0,No,Yes,57,Yes,No,No,Yes,No internet service,No internet service,No,No,Yes,Month-to-month,Yes,Electronic check,109.12,6219.84,No
CUST00108,Female,0,No,No,52,Yes,Yes,No,Yes,No,Yes,No,Yes,No internet service,Month-to-month,Yes,Electronic check,40.47,2104.44,No
CUST00109,Male,0,No,Yes,31,No,Yes,Fiber optic,No,No,No internet service,Yes,No internet service,No internet service,Month-to-month,No,Credit card,107.92,3345.52,No
CUST00110,Female,1,No,No,64,Yes,No,DSL,No,Yes,Yes,No internet service,No,No,Two year,Yes,Mailed check,64.71,4141.44,No
CUST00111,Male,0,No,Yes,71,Yes,Yes,No,No,No internet service,Yes,No,Yes,No internet service,Month-to-month,Yes,Credit card,113.44,8054.24,No
CUST00112,Female,0,Yes,No,33,No,Yes,DSL,No,No internet service,Yes,Yes,Yes,No internet service,Month-to-month,Yes,Mailed check,60.81,2006.73,Yes
CUST00113,Female,0,Yes,No,2,Yes,Yes,Fiber optic,No internet service,No,No internet service,No,Yes,No,One year,Yes,Credit card,37.77,75.54,No
CUST00114,Male,0,Yes,Yes,18,Yes,No,DSL,No,Yes,Yes,No,Yes,No,Month-to-month,Yes,Credit card,74.9,1348.2,Yes
CUST00115,Female,0,Yes,Yes,47,Yes,No phone service,No,No,Yes,No internet service,No,No internet service,Yes,Month-to-month,Yes,Bank transfer,78.77,3702.19,No
CUST00116,Male,0,Yes,Yes,33,Yes,No,DSL,No,No internet service,No internet service,No internet service,No internet service,No,Two year,No,Electronic check,83.55,2757.15,No
CUST00117,Female,1,Yes,Yes,35,Yes,No,DSL,No internet service,No internet service,No,Yes,Yes,Yes,Month-to-month,Yes,Credit card,61.15,2140.25,No
CUST00118,Female,0,No,No,51,Yes,No,Fiber optic,No internet service,No,No internet service,No internet service,No,No internet service,One year,No,Bank transfer,24.86,1267.86,No
CUST00119,Male,0,No,No,18,Yes,Yes,Fiber optic,No internet service,No internet service,No internet service,No internet service,No,Yes,One year,Yes,Credit card,82.67,1488.06,Yes
CUST00120,Female,1,Yes,Yes,30,Yes,No phone service,DSL,Yes,No,Yes,No,Yes,No,Two year,No,Credit card,113.3,3399.0,No
CUST00121,Male,1,Yes,Yes,44,Yes,No,DSL,No internet service,Yes,No internet service,Yes,Yes,No internet service,Month-to-month,No,Bank transfer,115.76,5093.44,No
CUST00122,Female,1,No,No,53,Yes,No,DSL,No,No internet service,No internet service,No,No,Yes,Month-to-month,No,Bank transfer,79.69,4223.57,Yes
CUST00123,Male,1,No,Yes,10,Yes,No phone service,Fiber optic,No internet service,Yes,No,No internet service,Yes,Yes,Month-to-month,Yes,Bank transfer,21.99,219.9,Yes
CUST00124,Male,0,No,No,52,Yes,No phone service,Fiber optic,No internet service,Yes,No,No internet service,Yes,Yes,Month-to-month,Yes,Electronic check,30.6,1591.2,No
CUST00125,Female,0,Yes,Yes,49,Yes,No phone service,DSL,No,No,Yes,Yes,No internet service,No internet service,Month-to-month,Yes,Electronic check,103.4,5066.6,No
CUST00126,Female,0,No,No,11,No,Yes,Fiber optic,No internet service,Yes,Yes,No internet service,No internet service,Yes,Two year,Yes,Credit card,102.97,1132.67,No
CUST00127,Male,0,Yes,No,66,Yes,No phone service,No,Yes,No,No,No internet service,Yes,Yes,Two year,Yes,Electronic check,114.6,7563.6,No
CUST00128,Female,0,Yes,No,58,Yes,Yes,Fiber optic,No internet service,No,No,Yes,Yes,No,Month-to-month,Yes,Bank transfer,76.38,4430.04,No
CUST00129,Female,0,No,No,36,Yes,No,Fiber optic,Yes,Yes,No internet service,No,No internet service,Yes,Month-to-month,No,Mailed check,106.38,3829.68,No
CUST00130,Female,0,No,No,33,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,No internet service,Month-to-month,Yes,Electronic check,102.49,3382.17,No
CUST00131,Male,0,Yes,Yes,47,Yes,No phone service,No,Yes,No,Yes,No internet service,No internet service,No,Two year,Yes,Bank transfer,78.94,3710.18,Yes
CUST00132,Male,0,No,No,13,Yes,Yes,No,No,No,No internet service,Yes,No internet service,No internet service,Month-to-month,Yes,Bank transfer,98.36,1278.68,No
CUST00133,Male,0,No,Yes,40,Yes,No phone service,No,No internet service,Yes,No internet service,No,No,No,Month-to-month,No,Bank transfer,32.57,1302.8,No
CUST00134,Male,0,Yes,No,68,Yes,Yes,DSL,Yes,No,Yes,No internet service,No internet service,No,Two year,No,Bank transfer,83.92,5706.56,Yes
CUST00135,Male,0,No,No,42,Yes,No,DSL,Yes,No,No,No,No,Yes,Month-to-month,No,Credit card,115.35,4844.7,No
CUST00136,Male,1,Yes,Yes,19,Yes,Yes,No,,No internet service,No,No,No,No internet service,Two year,No,Bank transfer,36.2,687.8,No
CUST00137,Male,0,Yes,Yes,19,Yes,No,DSL,,No internet service,No internet service,Yes,No internet service,Yes,Month-to-month,Yes,Bank transfer,94.4,1793.6,Yes
CUST00138,Male,0,No,Yes,58,Yes,No phone service,DSL,No,No internet service,Yes,No,Yes,No,One year,Yes,Credit card,52.08,3020.64,Yes
CUST00139,Male,0,Yes,Yes,23,Yes,No,DSL,Yes,No internet service,No internet service,Yes,No internet service,Yes,Month-to-month,No,Electronic check,101.71,2339.33,Yes
CUST00140,Female,1,Yes,No,54,Yes,No phone service,No,No,No internet service,No,Yes,No,No,Month-to-month,No,Mailed check,89.72,4844.88,No
CUST00141,Male,0,No,Yes,65,Yes,No phone service,Fiber optic,No internet service,No,No,No,No internet service,No,Two year,Yes,Credit card,112.62,7320.3,No
CUST00142,Female,0,No,No,12,Yes,No,No,No,No,No internet service,Yes,No internet service,No internet service,One year,No,Credit card,91.19,1094.28,No
CUST00143,Female,0,No,Yes,24,Yes,No,No,No internet service,No internet service,No,Yes,No,No internet service,Month-to-month,No,Electronic check,61.03,1464.72,No
CUST00144,Female,0,Yes,Yes,34,Yes,Yes,DSL,Yes,Yes,Yes,No,No internet service,No internet service,Month-to-month,No,Electronic check,21.09,717.06,No
CUST00145,Male,1,Yes,No,53,Yes,Yes,DSL,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Bank transfer,99.29,5262.37,No
CUST00146,Male,0,No,No,8,Yes,No,Fiber optic,Yes,Yes,No internet service,Yes,No,Yes,One year,Yes,Electronic check,60.85,486.8,No
CUST00147,Male,0,Yes,Yes,18,Yes,No,Fiber optic,No internet service,No,No internet service,Yes,Yes,No internet service,Month-to-month,No,Mailed check,87.06,1567.08,No
CUST00148,Male,1,No,No,57,Yes,No,Fiber optic,No internet service,Yes,No,No,No,No internet service,Two year,Yes,Credit card,30.51,1739.07,No
CUST00149,Female,1,No,No,5,Yes,No,Fiber optic,No,No,Yes,Yes,No,No internet service,Month-to-month,No,Mailed check,109.1,545.5,Yes
CUST00150,Male,0,Yes,No,26,Yes,No phone service,No,No internet service,Yes,No internet service,No,No internet service,No,Month-to-month,No,Bank transfer,63.57,1652.82,No
CUST00151,Male,1,No,No,30,No,No,Fiber optic,Yes,No,No internet service,No internet service,No,No,One year,Yes,Mailed check,111.97,3359.1,No
CUST00152,Male,0,Yes,No,54,Yes,No,No,No internet service,No,No,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer,90.7,4897.8,No
CUST00153,Male,0,Yes,No,13,Yes,No,DSL,Yes,No internet service,Yes,No,No internet service,No,Two year,No,Mailed check,32.15,417.95,No
CUST00154,Male,0,No,No,29,No,No,Fiber optic,Yes,No,No internet service,No internet service,No internet service,No,Month-to-month,No,Credit card,77.92,,Yes
CUST00155,Female,0,Yes,No,3,Yes,No phone service,DSL,No internet service,No internet service,No,No,No,Yes,Month-to-month,No,Mailed check,110.99,332.97,Yes
CUST00156,Male,0,No,Yes,58,Yes,Yes,DSL,,No internet service,No internet service,Yes,No,No,Month-to-month,Yes,Electronic check,100.0,5800.0,No
CUST00157,Female,1,Yes,No,2,Yes,Yes,No,No internet service,No internet service,No,No internet service,No internet service,Yes,Month-to-month,No,Mailed check,61.8,123.6,Yes
CUST00158,Male,1,Yes,Yes,28,Yes,Yes,Fiber optic,No internet service,Yes,Yes,Yes,Yes,No,Month-to-month,No,Credit card,115.51,3234.28,No
CUST00159,Female,0,Yes,No,2,Yes,Yes,No,No,Yes,No,Yes,Yes,No internet service,Month-to-month,Yes,Bank transfer,46.86,93.72,No
CUST00160,Male,1,No,No,7,Yes,Yes,DSL,Yes,No,No internet service,No,No,No,One year,No,Mailed check,57.51,402.57,No
CUST00161,Male,0,Yes,No,26,Yes,No phone service,Fiber optic,No internet service,No internet service,No internet service,No internet service,No internet service,No,Month-to-month,No,Mailed check,94.97,2469.22,No
CUST00162,Female,0,No,No,16,Yes,Yes,DSL,No,No internet service,No,No internet service,No internet service,Yes,Month-to-month,No,Electronic check,43.29,692.64,No
CUST00163,Female,0,Yes,Yes,23,Yes,No phone service,DSL,No,No,Yes,Yes,No,No internet service,Month-to-month,Yes,Bank transfer,71.54,1645.42,No
CUST00164,Female,0,Yes,Yes,40,Yes,No phone service,Fiber optic,Yes,No internet service,Yes,Yes,Yes,Yes,Month-to-month,No,Bank transfer,92.88,3715.2,No
CUST00165,Male,1,No,No,60,Yes,Yes,Fiber optic,,No,No internet service,No,No,No internet service,Month-to-month,No,Bank transfer,84.4,5064.0,No
CUST00166,Female,1,No,Yes,32,Yes,Yes,Fiber optic,Yes,No internet service,No internet service,No internet service,No,No internet service,Month-to-month,No,Credit card,35.54,1137.28,No
CUST00167,Male,0,No,No,15,Yes,Yes,No,No internet service,Yes,No,No,No internet service,Yes,Month-to-month,No,Credit card,82.97,1244.55,No
CUST00168,Male,0,No,No,13,Yes,No,No,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,77.27,1004.51,No
CUST00169,Female,0,No,Yes,5,Yes,No phone service,DSL,No internet service,No,No,No,Yes,No internet service,Month-to-month,No,Mailed check,75.78,378.9,Yes
CUST00170,Female,0,Yes,Yes,52,Yes,Yes,Fiber optic,No,Yes,Yes,No internet service,No,No,Two year,No,Credit card,102.6,5335.2,No
CUST00171,Male,1,Yes,No,41,Yes,No,DSL,No,No,Yes,No,No internet service,Yes,One year,No,Bank transfer,38.39,1573.99,No
CUST00172,Male,0,No,No,53,Yes,No phone service,DSL,No internet service,Yes,No internet service,No internet service,Yes,Yes,Month-to-month,No,Mailed check,95.16,5043.48,No
CUST00173,Female,0,Yes,Yes,50,Yes,No,DSL,No,No internet service,No internet service,No,No internet service,Yes,Two year,Yes,Mailed check,96.09,4804.5,No
